asset_name,file_name,file_format,file_size_mb,mesh_count,vertex_count,face_count,edge_count,surface_area,bounding_box_volume,vertex_density,polygon_density,bbox_x,bbox_y,bbox_z,is_watertight,is_winding_consistent,euler_number,duplicate_faces,degenerate_faces,material_count,texture_count,total_texture_pixels,total_texture_memory_mb,max_texture_width,max_texture_height,has_normal_map,has_displacement_map,complexity_tier,file_size_bytes,extraction_time_s,extracted_at,render_time_seconds,mesh_objects,rendered_at
2_c4afd8f228f4424d946dfd3a4ec31502,scene.gltf,gltf,0.0159,10.0,637055.0,1109260.0,1747265.0,54481.851543,1253228.877534,0.5083,0.8851,88.290161,84.206406,168.567154,False,True,-21.0,,0.0,1,2,1048576,3.0,1024,512,False,False,extreme,16621,1.572,2026-06-14T09:22:09.233690,86.1539,10,2026-06-13T10:56:46.309088
3D Premium Floorplan C10_a2475c32d03949479b7f68dd03a9f851,scene.gltf,gltf,0.0367,24.0,1236246.0,1356238.0,2494692.0,517.002249,74.182167,16665.0026,18282.5342,4.770199,11.923,1.3043,False,True,1388.0,,8.0,6,10,35651584,102.0,2048,2048,False,False,extreme,38496,2.2799,2026-06-14T09:22:11.514987,67.538,24,2026-06-13T10:58:00.176224
3D Premium floorplan_8b7cd98dc9784ed8aeeb58ee139f78b1,scene.gltf,gltf,0.0565,39.0,2289930.0,2081530.0,4061615.0,614569983.654994,2648415414.129653,0.0009,0.0008,2042.193359,589.476562,2200.000122,False,True,1156.0,,0.0,7,12,25165824,72.0,2048,2048,False,False,extreme,59296,3.6371,2026-06-14T09:22:15.153448,69.2679,39,2026-06-13T10:59:24.668051
74 911 RS PROJECT PORSCHE_3Ksj3oYImuP5mdtl2pNbq4zYpYb,scene.gltf,gltf,0.1983,134.0,2487556.0,4046419.0,6500010.0,146283.584393,852.838244,2916.797,4744.65,4.119492,14.218731,14.560028,False,True,126.0,,0.0,48,2,524288,1.5,512,512,False,False,extreme,207932,6.3195,2026-06-14T09:22:21.474504,346.8513,134,2026-06-13T11:05:24.490237
A K B 11-13-32_c7b53af05de34f36a2c17955adad15f8,scene.gltf,gltf,0.0702,41.0,947755.0,1442961.0,2374079.0,92382.722394,3202761.276292,0.2959,0.4505,124.912605,181.259857,141.454468,False,False,538.0,,0.0,40,0,0,0.0,0,0,False,False,extreme,73633,2.3081,2026-06-14T09:22:23.783890,131.7831,41,2026-06-13T11:07:41.699919
Acer TravelMate 3000 Laptop_79355883f7684c2b91b60edd926ae6a2,scene.gltf,gltf,0.0162,10.0,637387.0,1048680.0,1685374.0,278486.030802,15461970.885381,0.0412,0.0678,262.585693,252.821564,232.905464,False,True,-823.0,,0.0,1,0,0,0.0,0,0,False,False,extreme,16964,1.8591,2026-06-14T09:22:25.644387,53.6414,10,2026-06-13T11:08:39.636392
ackbar_612f3af0450342c48a22ae65f0925926,scene.gltf,gltf,0.0154,9.0,528627.0,1025024.0,1553601.0,77652.01417,742300.747174,0.7121,1.3809,109.019691,86.173198,79.013762,False,True,-2.0,,0.0,1,0,0,0.0,0,0,False,False,extreme,16161,2.3426,2026-06-14T09:22:27.988590,93.8355,9,2026-06-13T11:10:18.592880
Aerial Photogrametry Test with GoPro_a1d4bad94f8349ca825df48badfd0aac,scene.gltf,gltf,0.0295,19.0,1228490.0,2035356.0,3264386.0,335.799239,172.658474,7115.1446,11788.3354,10.29986,6.555248,2.557216,False,True,-992.0,,198.0,1,0,0,0.0,0,0,False,False,extreme,30899,3.4897,2026-06-14T09:22:31.479592,61.7973,19,2026-06-13T11:11:27.682830
Apocalypse Tank _89648717bd3e4861b9b069e49baa9361,scene.gltf,gltf,0.2902,171.0,2346516.0,3482568.0,5646377.0,3116.68313,16.898536,138859.1305,206086.9666,1.94975,3.9338,2.20322,False,True,-45.0,,0.0,15,12,1179648,3.375,512,512,False,False,extreme,304331,7.2705,2026-06-14T09:22:38.751929,157.5496,171,2026-06-13T11:14:15.325019
Aquincum porcelán_71e4e330ef034599bc18179de63ab524,scene.gltf,gltf,0.0125,10.0,635346.0,1009204.0,1645817.0,26563.567988,182130.213286,3.4884,5.5411,64.959099,63.319571,44.279636,False,True,-2615.0,,1.0,1,0,0,0.0,0,0,False,False,extreme,13113,2.0557,2026-06-14T09:22:40.809252,93.6877,10,2026-06-13T11:15:53.392491
